ID da resposta,genero,raca,deficiencia,idade,civil,filhos,religiao,politica,escolarizacao,escol_pai,profissao_pai,escol_mae,profissao_mae,gde_area,disciplina,uf,localizacao,cat_adm,org_acad,tempo_institu,capes,cons_empresas,cons_gov,cons_ag_fomento,atu_com_regu,atu_com_pesq,coord_gp,part_gp,coord_pg,coord_grad,soc_c_nacio,soc_c_inter,ABC,SBPC,publi_liv_tec,publi_liv_geral,patentes,publi_art_c,parecer_rev,part_event_c,org_event_c,divulga_c,curso_com_ext,p_teorica,p_experimental,p_laboratorio,p_empirca,p_aplicada,p_tecnologica,p_campo,p_demanda,p_outros,docencia,pos_lato_s,pos_stricto_s,extensao,projeto_pesq,administracao,orienta_grad,orienta_stricto_s,orienta_lato_s,medicina,fisioterapia,biologia,geologia,sociologia,historia,psicologia,filosofia,letras,artes,economia,administracao,direito,matematica,fisica,quimica,computacao,eng_prod,eng_mec,agronomia,zootecnia,coment_finais
298,Masculino,Branca,Não,58,Casada/o,0,Ateísmo,De esquerda,publica,ensino básico,artífice-técnico,ensino básico,serviços técnicos,Ciências da Natureza,Ecologia,Paraná,No interior,Pública Estadual,Universidade,35,6,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,,2,0 - Não atua,2,0 - Não atua,5 - Muito,0 - Não atua,2,3,0 - Não atua,4,4,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,1 - Pouco,3,Não é ciência,3,3,2,Não é ciência,5 - Muito,5 - Muito,5 - Muito,3,3,1 - Pouco,1 - Pouco,
299,Masculino,Branca,Não,69,Casada/o,1,Sem religião,De esquerda,particular,ensino superior,serviços profissionais,ensino médio,educação,Ciências da Natureza,Ecologia,Paraná,No interior,Pública Estadual,Universidade,37,6,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,,5 - Muito,0 - Não atua,5 - Muito,2,5 - Muito,3,1 - Pouco,5 - Muito,0 - Não atua,5 - Muito,3,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,4,4,4,3,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,
300,Feminino,Branca,Não,67,Divorciada/o,2,Católico,De direita,publica,ensino médio,serviços administrativos,ensino básico,dona de casa,Ciências da Natureza,Biologia,Paraná,No interior,Pública Estadual,Universidade,35,6,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,,5 - Muito,0 - Não atua,5 - Muito,0 - Não atua,5 - Muito,1 - Pouco,5 - Muito,5 - Muito,0 - Não atua,1 - Pouco,1 - Pouco,5 - Muito,5 - Muito,5 - Muito,5 - Muito,1 - Pouco,1 - Pouco,1 - Pouco,1 - Pouco,1 - Pouco,1 - Pouco,1 - Pouco,1 - Pouco,5 - Muito,5 - Muito,5 - Muito,1 - Pouco,1 - Pouco,5 - Muito,1 - Pouco,
301,Masculino,Branca,Não,68,Casada/o,3+,Ateísmo,De centro,publica,ensino médio,serviços técnicos,ensino médio,educação,Ciências Exatas,Geografia,Mato Grosso do Sul,No interior,Pública Federal,Universidade,4,4,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,,0 - Não atua,0 - Não atua,2,0 - Não atua,2,0 - Não atua,0 - Não atua,2,0 - Não atua,5 - Muito,5 - Muito,5 - Muito,5 - Muito,4,4,4,4,3,3,4,5 - Muito,3,5 - Muito,5 - Muito,5 - Muito,3,4,4,5 - Muito,5 - Muito,"Fico à disposição, boa sorte"
302,Feminino,Branca,Não,53,Casada/o,0,Sem religião,De esquerda,particular,ensino superior,serviços profissionais,ensino médio,educação,Ciências Agrárias,Biologia,Paraná,No interior,Privada sem fins lucrativos,Universidade,24,4,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não,,5 - Muito,0 - Não atua,4,3,5 - Muito,3,3,5 - Muito,0 - Não atua,2,2,5 - Muito,4,3,3,2,2,2,2,2,2,1 - Pouco,5 - Muito,5 - Muito,5 - Muito,5 - Muito,3,3,5 - Muito,5 - Muito,
303,Masculino,Branca,Não,51,Casada/o,2,Evangélico,De esquerda,publica,ensino básico,setor agrícola,ensino básico,dona de casa,Ciências Exatas,Química,Paraná,No interior,Pública Estadual,Universidade,20,6,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,,3,0 - Não atua,4,0 - Não atua,5 - Muito,4,2,4,0 - Não atua,4,4,5 - Muito,5 - Muito,3,4,3,3,4,3,3,4,3,5 - Muito,5 - Muito,5 - Muito,5 - Muito,4,5 - Muito,4,4,
304,Feminino,Branca,Não,56,Divorciada/o,1,Católico,De esquerda,publica,ensino básico,funcionário público,ensino básico,artífice-técnica,Ciências da Natureza,Ecologia,Paraná,No interior,Pública Estadual,Universidade,35,6,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Sim,Não,,4,0 - Não atua,4,4,4,4,4,4,0 - Não atua,4,3,5 - Muito,5 - Muito,5 - Muito,5 - Muito,3,5 - Muito,5 - Muito,3,5 - Muito,3,3,5 - Muito,5 - Muito,5 - Muito,5 - Muito,3,3,5 - Muito,5 - Muito,
305,Masculino,Parda,Não,52,Divorciada/o,1,Budismo,De centro,publica,ensino médio,serviços administrativos,ensino básico,dona de casa,Engenharias,Engenharia civil,Paraná,No interior,Pública Estadual,Universidade,15,4,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,,2,0 - Não atua,0 - Não atua,2,2,0 - Não atua,1 - Pouco,0 - Não atua,0 - Não atua,2,2,2,2,2,2,2,2,Não é ciência,Não é ciência,2,2,2,4,4,4,4,1 - Pouco,3,3,3,
306,Masculino,Branca,Não,65,Casada/o,0,Católico,De direita,publica,ensino básico,serviços comerciais,ensino superior,educação,Engenharias,Engenharia de produção,Rio Grande do Sul,Na capital,Privada sem fins lucrativos,Universidade,22,4,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,,2,1 - Pouco,4,1 - Pouco,5 - Muito,1 - Pouco,1 - Pouco,5 - Muito,1 - Pouco,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,
308,Feminino,Branca,Não,30,Casada/o,0,Católico,De direita,particular,ensino superior,serviços profissionais,ensino superior,serviços profissionais,Ciências Exatas,Engenharia de produção,Rio Grande do Sul,Na capital,Privada sem fins lucrativos,Universidade,7,7,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,,5 - Muito,4,4,1 - Pouco,5 - Muito,3,5 - Muito,4,4,5 - Muito,4,5 - Muito,2,2,3,3,2,2,1 - Pouco,5 - Muito,4,1 - Pouco,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,
